 I ,  我
 fork ,  叉子
 chopstick ,  筷子
 spoon ,  湯匙
 knife ,  刀子 
 dish ,  盤
 bowl ,  碗
 glass ,  玻璃杯；眼鏡
 straw ,  吸管
 cup ,  杯
 bottle ,  瓶
 napkin ,  餐巾 
 plate ,  盤子
 many ,  很多
 much ,  很多
 a lot of ,  許多
 some ,  一些
 a little ,  一些
 a few ,  一些
 little ,  很少
 few ,  很少
 piece ,  張；塊
 every ,  每一個
 both ,  兩者都
 dozen ,  一打
 pair ,  雙
 all ,  全部的
 most ,  大部分的
 several ,  幾個；數個
 how much ,  多少
 hundred ,  百
 thousand ,  千
 million ,  百萬
 dollar ,  元
 cent ,  分
 pay ,  付
 cash ,  現金
 credit card ,  信用卡
 bill ,  帳單
 price ,  價錢
 money ,  錢
 change ,  零錢
 pound ,  英鎊
 coin ,  硬幣
 towel ,  毛巾
 key ,  鑰匙
 ball ,  球
 every day ,  每天
 party ,  派對
 card ,  卡片
 present ,  禮物
 gift ,  禮物
 which ,  哪一個
 letter ,  信；字母
 too ,  也；太
 either ,  也
 and ,  和；並且
 but ,  但是；卻
 or ,  或；否則
 birthday ,  生日
 anything ,  任何事；東西
 else ,  其他的
 why ,  為什麼
